"","date","NO2","SO2","Ozone","PM2.5","day"
"1",2018-01-01 01:00:00,NA,NA,NA,NA,2018-01-01
"2",2018-01-01 02:00:00,NA,NA,NA,NA,2018-01-01
"3",2018-01-01 03:00:00,NA,NA,NA,NA,2018-01-01
"4",2018-01-01 04:00:00,NA,NA,NA,NA,2018-01-01
"5",2018-01-01 05:00:00,NA,NA,NA,NA,2018-01-01
"6",2018-01-01 06:00:00,NA,NA,NA,NA,2018-01-01
"7",2018-01-01 07:00:00,NA,NA,NA,NA,2018-01-01
"8",2018-01-01 08:00:00,NA,NA,NA,NA,2018-01-01
"9",2018-01-01 09:00:00,NA,NA,NA,NA,2018-01-01
"10",2018-01-01 10:00:00,NA,NA,NA,NA,2018-01-01
"11",2018-01-01 11:00:00,NA,NA,NA,NA,2018-01-01
"12",2018-01-01 12:00:00,NA,NA,NA,NA,2018-01-01
"13",2018-01-01 13:00:00,NA,NA,NA,NA,2018-01-01
"14",2018-01-01 14:00:00,NA,NA,NA,NA,2018-01-01
"15",2018-01-01 15:00:00,NA,NA,NA,NA,2018-01-01
"16",2018-01-01 16:00:00,NA,NA,NA,NA,2018-01-01
"17",2018-01-01 17:00:00,NA,NA,NA,NA,2018-01-01
"18",2018-01-01 18:00:00,NA,NA,NA,NA,2018-01-01
"19",2018-01-01 19:00:00,NA,NA,NA,NA,2018-01-01
"20",2018-01-01 20:00:00,NA,NA,NA,NA,2018-01-01
"21",2018-01-01 21:00:00,NA,NA,NA,NA,2018-01-01
"22",2018-01-01 22:00:00,NA,NA,NA,NA,2018-01-01
"23",2018-01-01 23:00:00,NA,NA,NA,NA,2018-01-01
"24",2018-01-02 00:00:00,NA,NA,NA,NA,2018-01-02
"25",2018-01-02 01:00:00,NA,NA,NA,NA,2018-01-02
"26",2018-01-02 02:00:00,NA,NA,NA,NA,2018-01-02
"27",2018-01-02 03:00:00,NA,NA,NA,NA,2018-01-02
"28",2018-01-02 04:00:00,NA,NA,NA,NA,2018-01-02
"29",2018-01-02 05:00:00,NA,NA,NA,NA,2018-01-02
"30",2018-01-02 06:00:00,NA,NA,NA,NA,2018-01-02
"31",2018-01-02 07:00:00,NA,NA,NA,NA,2018-01-02
"32",2018-01-02 08:00:00,NA,NA,NA,NA,2018-01-02
"33",2018-01-02 09:00:00,NA,NA,NA,NA,2018-01-02
"34",2018-01-02 10:00:00,NA,NA,NA,NA,2018-01-02
"35",2018-01-02 11:00:00,NA,NA,NA,NA,2018-01-02
"36",2018-01-02 12:00:00,NA,NA,NA,NA,2018-01-02
"37",2018-01-02 13:00:00,NA,NA,NA,NA,2018-01-02
"38",2018-01-02 14:00:00,NA,NA,NA,NA,2018-01-02
"39",2018-01-02 15:00:00,NA,NA,NA,NA,2018-01-02
"40",2018-01-02 16:00:00,NA,NA,NA,NA,2018-01-02
"41",2018-01-02 17:00:00,NA,NA,NA,NA,2018-01-02
"42",2018-01-02 18:00:00,NA,NA,NA,NA,2018-01-02
"43",2018-01-02 19:00:00,NA,NA,NA,NA,2018-01-02
"44",2018-01-02 20:00:00,NA,NA,NA,NA,2018-01-02
"45",2018-01-02 21:00:00,NA,NA,NA,NA,2018-01-02
"46",2018-01-02 22:00:00,NA,NA,NA,NA,2018-01-02
