"","date","NO2","SO2","Ozone","PM2.5","day"
"1",2019-01-01 01:00:00,59.45,10.73,86.14,67,2019-01-01
"2",2019-01-01 02:00:00,60.48,7.67,84.87,72,2019-01-01
"3",2019-01-01 03:00:00,50.15,6.1,119.32,73.75,2019-01-01
"4",2019-01-01 04:00:00,45.15,4.65,111.42,64.5,2019-01-01
"5",2019-01-01 05:00:00,46.92,4.12,107.26,77.75,2019-01-01
"6",2019-01-01 06:00:00,58.7,5.65,82.12,83.5,2019-01-01
"7",2019-01-01 07:00:00,69.98,4.25,60.02,79.5,2019-01-01
"8",2019-01-01 08:00:00,63.07,7.15,61.05,92,2019-01-01
"9",2019-01-01 09:00:00,69.03,8.2,55.07,102,2019-01-01
"10",2019-01-01 10:00:00,78.2,10.58,80.61,108,2019-01-01
"11",2019-01-01 11:00:00,81.57,9.25,122.11,83.25,2019-01-01
"12",2019-01-01 12:00:00,89.05,7.98,136.81,60.75,2019-01-01
"13",2019-01-01 13:00:00,85.45,7.13,154.55,51.5,2019-01-01
"14",2019-01-01 14:00:00,93.07,7.93,148.08,43.5,2019-01-01
"15",2019-01-01 15:00:00,86.28,7.6,130.39,39.75,2019-01-01
"16",2019-01-01 16:00:00,80.73,9.28,125.1,33.75,2019-01-01
"17",2019-01-01 17:00:00,87.5,11.08,104.12,36.25,2019-01-01
"18",2019-01-01 18:00:00,96.17,11.17,55.08,39.25,2019-01-01
"19",2019-01-01 19:00:00,114.35,10.35,2.16,52.25,2019-01-01
"20",2019-01-01 20:00:00,118.95,11.33,1.81,73.5,2019-01-01
"21",2019-01-01 21:00:00,113.5,13.03,7.93,80,2019-01-01
"22",2019-01-01 22:00:00,97.52,9.35,18.18,70.75,2019-01-01
"23",2019-01-01 23:00:00,95.28,8.5,38.91,52.25,2019-01-01
"24",2019-01-02 00:00:00,76.98,8.43,87.17,52,2019-01-02
"25",2019-01-02 01:00:00,56.98,7.4,123.18,48.25,2019-01-02
"26",2019-01-02 02:00:00,51.85,7.6,124.75,46.5,2019-01-02
"27",2019-01-02 03:00:00,44,7.02,138.33,46,2019-01-02
"28",2019-01-02 04:00:00,45.2,5.42,126.71,41.5,2019-01-02
"29",2019-01-02 05:00:00,47.47,4.77,121.57,51.25,2019-01-02
"30",2019-01-02 06:00:00,64.28,4.5,61.2,66.75,2019-01-02
"31",2019-01-02 07:00:00,75.45,7.8,24.45,71,2019-01-02
"32",2019-01-02 08:00:00,79.07,8.53,34.1,86,2019-01-02
"33",2019-01-02 09:00:00,69.17,10.62,76.05,83.5,2019-01-02
"34",2019-01-02 10:00:00,79.38,11.05,103.93,74.25,2019-01-02
"35",2019-01-02 11:00:00,85.03,11.65,106.52,65,2019-01-02
"36",2019-01-02 12:00:00,81.1,10.2,125.49,50.5,2019-01-02
"37",2019-01-02 13:00:00,78.85,4.78,132.79,40,2019-01-02
"38",2019-01-02 14:00:00,86.2,2.27,118.58,31.25,2019-01-02
